symbol,name,market,industry,yahoo_symbol
3556,禾瑞亞,TPEx,24,3556.TWO
3557,嘉威,TWSE,38,3557.TW
3558,神準,TPEx,27,3558.TWO
3563,牧德,TWSE,26,3563.TW
3564,其陽,TPEx,27,3564.TWO
3567,逸昌,TPEx,24,3567.TWO
3570,大塚,TPEx,30,3570.TWO
3576,聯合再生,TWSE,26,3576.TW
3577,泓格,TPEx,25,3577.TWO
3580,友威科,TPEx,31,3580.TWO
3581,博磊,TPEx,24,3581.TWO
3583,辛耘,TWSE,24,3583.TW
3587,閎康,TPEx,31,3587.TWO
3588,通嘉,TWSE,24,3588.TW
3591,艾笛森,TWSE,26,3591.TW
3592,瑞鼎,TWSE,24,3592.TW
3593,力銘,TWSE,28,3593.TW
3594,磐儀,TPEx,25,3594.TWO
3596,智易,TWSE,27,3596.TW
3597,映興,TPEx,28,3597.TWO
3605,宏致,TWSE,28,3605.TW
3607,谷崧,TWSE,28,3607.TW
3609,三一東林,TPEx,28,3609.TWO
3611,鼎翰,TPEx,25,3611.TWO
3615,安可,TPEx,26,3615.TWO
3617,碩天,TWSE,31,3617.TW
3622,洋華,TWSE,26,3622.TW
3623,富晶通,TPEx,26,3623.TWO
3624,光頡,TPEx,28,3624.TWO
3625,西勝,TPEx,25,3625.TWO
3628,盈正,TPEx,31,3628.TWO
3629,地心引力,TPEx,32,3629.TWO
3630,新鉅科,TPEx,26,3630.TWO
3631,晟楠,TPEx,28,3631.TWO
3632,研勤,TPEx,27,3632.TWO
3645,達邁,TWSE,28,3645.TW
3646,艾恩特,TPEx,28,3646.TWO
3652,精聯,TWSE,25,3652.TW
3653,健策,TWSE,28,3653.TW
3661,世芯-KY,TWSE,24,3661.TW
3663,鑫科,TPEx,31,3663.TWO
3664,安瑞-KY,TPEx,27,3664.TWO
3665,貿聯-KY,TWSE,31,3665.TW
3666,光耀,TPEx,26,3666.TWO
3669,圓展,TWSE,27,3669.TW
3672,康聯訊,TPEx,27,3672.TWO
3673,TPK-KY,TWSE,26,3673.TW
3675,德微,TPEx,24,3675.TWO
3679,新至陞,TWSE,28,3679.TW
3680,家登,TPEx,24,3680.TWO
3684,榮昌,TPEx,27,3684.TWO
3685,元創精密,TPEx,05,3685.TWO
3686,達能,TWSE,24,3686.TW
3687,歐買尬,TPEx,36,3687.TWO
3689,湧德,TPEx,28,3689.TWO
3691,碩禾,TPEx,26,3691.TWO
3693,營邦,TPEx,25,3693.TWO
3694,海華,TWSE,27,3694.TW
3701,大眾控,TWSE,25,3701.TW
3702,大聯大,TWSE,29,3702.TW
3703,欣陸,TWSE,14,3703.TW
3704,合勤控,TWSE,27,3704.TW
3705,永信,TWSE,22,3705.TW
3706,神達,TWSE,25,3706.TW
3707,漢磊,TPEx,24,3707.TWO
3708,上緯投控,TWSE,35,3708.TW
3709,鑫聯大投控,TPEx,25,3709.TWO
3710,連展投控,TPEx,28,3710.TWO
3711,日月光投控,TWSE,24,3711.TW
3712,永崴投控,TWSE,25,3712.TW
3713,新晶投控,TPEx,35,3713.TWO
3714,富采,TWSE,26,3714.TW
3715,定穎投控,TWSE,28,3715.TW
3716,中化控股,TWSE,22,3716.TW
3717,聯嘉投控,TWSE,12,3717.TW
4102,永日,TPEx,22,4102.TWO
4104,佳醫,TWSE,22,4104.TW
4105,東洋,TPEx,22,4105.TWO
4106,雃博,TWSE,22,4106.TW
4107,邦特,TPEx,22,4107.TWO
4108,懷特,TWSE,22,4108.TW
4109,加捷生醫,TPEx,22,4109.TWO
4111,濟生,TPEx,22,4111.TWO
4113,聯上,TPEx,14,4113.TWO
4114,健喬,TPEx,22,4114.TWO
4116,明基醫,TPEx,22,4116.TWO
4119,旭富,TWSE,22,4119.TW
4120,友華,TPEx,22,4120.TWO
4121,優盛,TPEx,22,4121.TWO
4123,晟德,TPEx,22,4123.TWO
